ID;NAME;DESCRIPTION;PRICE;INFO;MISC;WEBSITE;FOREIGN KEY
1;Prisma Linnanmaa;Groceries;$;Kauppalinnankuja 1-3;;;
2;Prisma Limingantulli;Groceries;$;Nuottasaarentie 1;;;
3;Prisma Raksila;Groceries;$;Tehtaankatu 3;;;
4;K-Citymarket Raksila;Groceries;$;Tehtaankatu 5;;;
5;Shopping mall Valkea;A mall with variety of shops and restaurants;$$;Isokatu 24-25;;;
6;Shopping mall Ideapark;A mall with variety of shops and restaurants;$$;Ritaharjuntie 49;;;
